"182","AIU","Atiu Island Airport","Atiu Island","Cook Islands","0",
"183","AIV","George Downer Airport","Aliceville","USA - Alabama","0",
"184","AIW","Ai-Ais Airport","Ai-Ais","Namibia","0",
"185","AIY","Bader Field","Atlantic City","USA - New Jersey","0",
"186","AIZ","Lee C Fine Memorial Airport","Kaiser/Lake Ozark","USA - Missouri","0",
"187","AJA","Campo Dell Oro Airport","Ajaccio","France","0",
"188","AJF","Jouf Airport","Jouf","Saudi Arabia","0",
"189","AJI","Agri Airport","Agri","Turkey","0",
"190","AJJ","Akjoujt Airport","Akjoujt","Mauritania","0",
"191","AJK","Araak Airport","Araak","Iran","0",
"192","AJL","Aizawl Airport","Aizawl","India","0",
"193","AJN","Ouani Airport","Anjouan","Comoros","0",
"194","AJO","Aljouf Airport","Aljouf","Yemen","0",
"195","AJR","Arvidsjaur Airport","Arvidsjaur","Sweden","0",
"196","AJS","Abreojos Airport","Abreojos","Mexico","0",
"197","AJU","Aracaju Airport","Aracaju","Brazil","0",
"198","AJY","Agades Airport","Agades","Niger","0",
"199","AKA","Ankang Airport","Ankang","China","0",
"200","AKB","Atka Airport","Atka","USA - Alaska","0",
"201","AKC","Fulton International Airport","Akron/Canton","USA - Ohio","0",
"202","AKD","Akola Airport","Akola","India","0",
"203","AKF","Kufrah Airport","Kufrah","Libya","0",
"204","AKG","Anguganak Airport","Anguganak","Papua New Guinea","0",
"205","AKH","Prince Sultan Air Base","Al Kharj","Saudi Arabia","0",
"206","AKI","Akiak Airport","Akiak","USA - Alaska","0",
"207","AKJ","Asahikawa Airport","Asahikawa","Japan","0",
"208","AKK","Akhiok Sea Plane Base","Akhiok","USA - Alaska","0",
"209","AKL","Auckland International Airport","Auckland (AKL)","New Zealand","0",
"210","AKM","Zakouma Airport","Zakouma","Mali","0",
"211","AKN","King Salmon Airport","King Salmon","USA - Alaska","0",
"212","AKO","Washington County Airport","Akron","USA - Colorado","0",
"213","AKP","Anaktuvuk Airport","Anaktuvuk","USA - Alaska","0",
"214","AKQ","Gunung Batin Airport","Astraksetra","Indonesia","0",
"215","AKR","Akure Airport","Akure","Nigeria","0",
"216","AKT","Akrotiri Royal Air Force","Akrotiri","Cyprus","0",
"217","AKU","Aksu Airport","Aksu","China","0",
"218","AKV","Akulivik Airport","Akulivik","Canada","0",
"219","AKW","Aghajari Airport","Aghajari","Iran","0",
"220","AKX","Aktyubinsk Airport","Aktyubinsk","Kazakhstan","0",
"221","AKY","Civil Airport","Sittwe","Burma","0",
